course_name,distance,start_point_name,last_point,course_level,course_points
관악산 자락길(무장애숲길),1.3km,서울대학교 버스정류장,도토리 쉼터,1,제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터
흥인지문구간,1.8km,장충체육관,장충체육관,1,흥인지문-동대문역사문화공원(옛 동대문운동장 터)-광희문-장충체육관
인왕산구간,4km, 사직근린공원,창의문,2,돈의문 터-인왕산 정상-윤동주 시인의 언덕-창의문
숭례문구간,1.8km,"시청역 지하철 1, 2호선",돈의문터 강북삼성병원,1,백범광장-남대문시장-숭례문-돈의문터 강북삼성병원
백악구간,4.70km,자하문고개?윤동주시인의언덕,혜화문,2,창의문 - 숙정문 - 말바위 안내소 - 와룡공원 - 혜화문
남산구간,4.2km,남산북측순환로입구,백범광장,2,장충체육관-국립극장-N서울타워-남산 팔각정-백범광장
낙산구간,2.1km,"동대문역 지하철 1,4호선",흥인지문,1,혜화문-낙산공원 놀이마당-이화마을-흥인지문
안산 자락길,7km,연희숲속 쉼터,연희숲속 쉼터,1,연희숲속 쉼터
인왕산 자락길,2.5km,지하철 3호선 경복궁역 1번 출구,인왕산,1,인왕산
신정산 자락길,4.6km,버스정류장 15-309,신정산,1,신정산
북한산 자락길,1.2km,버스정류장 정릉초교(08-350),북한산,1,북한산
매봉산 자락길,2km,데크로드 진입공간,매봉산,1,매봉산
서달산 자락길,0.5km,호국지장사,서달산,1,서달산
배봉산 자락길,0.73km,배봉산 근린공원,동성빌라,1,배봉산연육교 ~ 제1만남의광장 ~ 동성빌라
고덕산 자락길,0.7km,강덕초교,고덕산,1,고덕산
용산한강길,8.45Km,"서빙고역, 반포대교",한남역,1,마포대교 원효대교 인근~한강시민공원 이촌지구 인근~동작대교 인근~서빙고역 반포대교 인근~한남역 인근
청계천길,8.13Km,마장역 지하철 5호선,롯데캐슬 베네치아 아파트,1,청계광장 인근~청계2가 인근~청계3가 인근~방산종합상가A동 인근~청평화시장 인근~롯데캐슬 베네치아 아파트 인근
전쟁기념관 산책길,1.63km,전사자영비,전사자영비,1,옥외전시장~전사자영비
용산가족 산책길,3.30km,보신각종,보신각종,2,국립중앙박물관~거울못~용산가족공원~보신각종
덕수궁 산책길,6.02km,서울시 역사박물관,정동공원,1,덕수궁 돌담길~대한문~경운궁 양이재~홍화문~정동공원
남산야외식물원 산책길,2.29km,지하철정류장(한강진역1번출입구),팔도소나무 단지,1,라틴아메리카 공원~야생화 공원~ 팔도소나무 단지
남산 순환 나들길,9.17km,와룡묘,와룡묘,2,남산도서관앞~N서울타워~남산공원~와룡묘
한남매봉공원 산책길,1.88km,버스정류장(순천향대학병원),남산공원길,1,단국대학교~매봉산공원~힐사이드아파트~남산공원길
성동광진구한강길,12.84Km,영동대교,쉐라톤워커힐호텔,1,"옥수역 인근~서울숲 인근~영동대교 인근~뚝섬유원지 인근~뚝섬유원지, 잠실대교 인근~동서울터미널 인근~올림픽대교, 강변북로 인근~쉐라톤워커힐호텔 인근"
어린이대공원 산책길,1.89km,어린이대공원 후문,물놀이장,1,모험의 나라 놀이터~음악분수~전래동화마을~물놀이장
아차산 숲 나들길,2.78km,오동나무 자생지,오동나무 자생지,3,만남의 광장~소나무림~아차산성~아차산성 유원지~오동나무 자생지
성동 송정둑길,2.93㎞,살곶이다리,응봉역,1,아차산역~어린이대공원~송정동 둑길~살곶이다리~응봉역
서울숲 공원 산책길,5.22km,서울숲 4번 출입구,바람의 언덕,1,숲속길~뚝섬가족마당~거울연못~바람의 언덕
서울숲 남산 나들길,8.82km,서울성곽길,서울성곽길,2,용비교~응봉공원~독서당공원~금호산~매봉산~서울성곽길
정릉천길,3.57Km,제기동역 지하철 1호선,코업스타클래스,1,제기로9길 인근~고산자로58길 인근~코업스타클래스 인근
홍릉수목원길,1.83km,지하철정류장(고려대역3번출입구),조경인의 숲,1,홍릉수목원 입구~조경인의 숲
배봉산 답십리 나들길,3.51km,버스정류장(배봉초등학교앞),배봉산근린공원 진입,2,배봉산 출입구~답십리 근린공원~배봉산근린공원 진입
중랑캠핑숲나들길,3.73km,극락사,나들이공원,2,중랑캠핑숲입구~망우산공원입구~나들이공원
중랑천제방장미 벚꽃길,5.68km,지하철정류장(태릉입구역8번출입구),수림대장미원,1,사각문~묵동수림공원~수림대장미원
용마산 나들길,4.02km,버스정류장(용마산 한신아파트),사가정공원,3,용마폭포공원~용마산 우수조망명소~깔딱고개~사가정공원
망우산숲나들길,5.51km,전망대,망우사색의 길,2,전망대~망우사색의 길
당현천길,2.84Km,노원구민체육센터,학여울 청구아파트,1,상계역 인근~양지마을 대림 2차 아파트 인근~가재울 근린공원 인근~학여울 청구아파트 인근
묵동천길,3.96Km,봉화산역 지하철 6호선,육사체육관,1,한국아파트 인근~브라운스톤태릉아파트 인근~태릉고등학교 인근~중랑소방서 인근~서울메디컬타워 인근~육사아파트 인근~육사체육관 인근
중랑천길,20.74Km,아차산성,응봉역,1,도봉주공1단지 인근~성균관대도봉선수촌 인근~방학동삼성래미안아파트 인근~창동주공19단지아파트 인근~초안산근린공원 인근~월계삼호4차아파트 인근~두산아파트 석계초등학교 인근~일신강변아파트 인근~동국대사대부속중학교 인근~현대홈타운아파트 인근~성동세무서 인근~응봉역 인근
초안산 나들길(초록숲길),4.59km,지하철정류장(녹천역4번출입구),산사나무 군락지,1,산사나무 군락지
월계근린공원 산책길,1.12km,버스정류장(인덕삼거리),체력장,1,체력장
수락산 나들길(초록숲길),7.39km,암불사,수락산정상,3,암불사~도솔봉~수락산정상
불암산 나들길,9.79km,학도암 마애관음 보살좌상,삼육대 정문,2,회춘샘 약수터~학도암 마애관음보살 좌상~제명호~삼육대 정문
우이천길,7.94Km,서울선곡초등학교,우암빌라,1,서울선곡초등학교 인근~롯데캐슬루나아파트 인근~번2동주민센터 인근~우이제3교 인근~창동태영데시앙아파트 인근~강북중학교 인근~우암빌라 인근
가오천길,0.21Km,국립재활원,국립재활원,1,본원정사 인근~국립재활원 인근
대동천길,0.67Km,강북청소년수련관 버스 정류장,산양로 139길,1,선일교통종점 인근~산양로 139길 인근
도봉천길,2.78Km,성균관대도봉선수촌,성균관대도봉선수촌,1,무궁화제작소 인근~도봉로171길 인근~럭키아파트 인근~형진빌라 인근~도봉로177길 인근~성균관대도봉선수촌 인근
방학천길,1.89Km,방학동도깨비시장,동아엔지니어링,1,벽산1차아파트 인근~제일시장 인근~정병원빌딩 인근~동아엔지니어링 인근
우이령 나들길,7.95km,오봉전망대,석굴암,2,방문자서비스센터~소귀고개 정상~오봉전망대~석굴암
오패산 나들길,2.06km,덕릉로 40다길,신망애정자,2,오동공원~꽃샘길~율곡놀이터~신망애정자
쌍문역사 산책길(초록숲길),5.21km,연산군묘,벚나무길,2,발바닥공원~정자쉼터~쌍문근린공원~벚나무길
북한산방학 나들길,6.81km,도봉역 1번 출입구,쌍둥이전망대,2,방학동길 진입로~매표소~자현암~장수텃밭~장수천~쌍둥이전망대
